,RUNDATE,FY,FM,DOCID,CHKSUBTOT,VCODE,VENDOR,ZIP5,FTYP,FUNDTYPE,DPT,DEPARTMENT,ACTV,ACTIVITY,OGRP,OBJECTGROUP,OBJ,OBJECT,COMM,COMMODITYDSCR,INVOICEDATE,INVOICENUMBER
10209,2023-10-27,2024,1,EFT-BMS-EY240008140,492657.24,520478,Black & Veatch Corporation,66211,SWRC,Sewer Capital Program,DWU,Water Utilities,STMP,Studies And Master Plans,RC,Capital Outlay,4111,Engineering Design,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
10223,2023-10-27,2024,1,EFT-BMS-EY240008155,3481924.0,VC0000002996,The Housing Authority Of The City Of Dallas,75356,CVID,COVID-19,MGT,Management Services,EH54,Comprehensive Homeless Outreach,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
10224,2023-10-27,2024,1,EFT-BMS-EY240008156,491390.65,VC0000003594,"Phoenix I Restoration And Construction, Llc",75234,BP17,2017 General Obligation Bond Program,PKR,Park & Recreation,FPRK,Fair Park Development,RC,Capital Outlay,4310,Buildings,91000.0,"BUILDING MAINTENANCE, INSTALLATION AND REPAIR SERVICES",,
10557,2023-10-27,2024,1,EFT-BMS-EY240008471,469918.35,199054,John Burns Construction Company Of Texas Llc,75067,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
10745,2023-10-30,2024,1,EFT-BMS-EY240008566,602735.87,034034,"Tdindustries, Inc",75234,CVID,COVID-19,BSD,Building Services,EB01,"City Facility Operations, Maintenance And Repair",RC,Capital Outlay,4720,Mach Tools Implem  Major,91450.0,"HEATING, VENTILATING AND AIR CONDITIONING (HVAC)",,
10867,2023-10-30,2024,1,EFT-BMS-EY240008689,444164.1,345379,Omega Contracting Llc,75212,WTRC,Water Capital Program,DWU,Water Utilities,REEQ,Rehabilitation And Equipment,QV,Contractual & Other Services,3221,Water Relocation,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
11038,2023-10-30,2024,1,EFT-BMS-EY240008862,455815.31,VC28405,Estrada Concrete Company Llc,75141,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
11082,2023-10-30,2024,1,EFT-BMS-EY240008899,390419.0,VC29235,"Chastang Enterprises - Houston, Llc",77226,OTDB,Other GO CIP  - Debt,SAN,Sanitation Svcs,FLTR,San- Fleet Replacement,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
11098,2023-10-30,2024,1,EFT-BMS-EY240008915,413395.76,VS0000025965,"Metco Engineering, Inc.",75219,BP17,2017 General Obligation Bond Program,PKR,Park & Recreation,FPRK,Fair Park Development,RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
11134,2023-10-30,2024,1,EFT-BMS-EY240008951,553811.63,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,RWPT,Raw Water Pumping And Transmission,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
11135,2023-10-30,2024,1,EFT-BMS-EY240008952,530754.35,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
11836,2023-10-31,2024,1,EFT-BMS-EY240009596,377372.5,VS0000040826,"Shawnee Mission Tree Service, Inc",76051,EFOP,Enterprise Operating Fund,SAN,Sanitation Svcs,SS04,Solid Waste Transfer Stations,QV,Contractual & Other Services,3072,Contractor Service Fees,98888.0,TREE TRIMMING AND PRUNING SERVICES,,
11930,2023-10-31,2024,1,EFT-BMS-EY240009687,831610.0,VS90252,"Siddons Martin Emergency Group, Llc",77032,OTDB,Other GO CIP  - Debt,DFD,Dallas Fire Department,DF08,Fire And Rescue Equipment Maintenance,RC,Capital Outlay,4742,Trucks,7003.0,AMBULANCES AND RESCUE VEHICLES,,
12167,2023-11-01,2024,2,EFT-BMS-EY240009865,449628.62,347200,"Freese And Nichols, Inc.",75204,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4116,Construction Manager Fees,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
12605,2023-11-02,2024,2,AD-BMS-AY240002183,6000000.0,VC29038,"Inspire Dallas, Llc",75057,CCTC,Convention Center Capital Program,CCT,Convention And Event Services,CCIM,Convention Center Improvements,QV,Contractual & Other Services,3070,Professional Services,95877.0,PROJECT MANAGEMENT SERVICES,,
12666,2023-11-02,2024,2,EFT-BMS-EY240010308,392680.62,004204,"Texas Materials Group, Inc.",75062,OTBM,Other-Budget Office,PBW,Public Works & Transporation,PB51,Street Maintenance Contracts,QV,Contractual & Other Services,3072,Contractor Service Fees,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
13610,2023-11-03,2024,2,EFT-BMS-EY240011153,434869.66,VS97685,"All City Management Services, Inc.",90084,GNFD,General Fund,CTS,Court & Detention Services,CT11,Municipal Court Services,QV,Contractual & Other Services,3070,Professional Services,92471.0,SCHOOL OPERATION AND MANAGEMENT SERVICES,,
13611,2023-11-03,2024,2,EFT-BMS-EY240011154,392592.91,VS97685,"All City Management Services, Inc.",90084,GNFD,General Fund,CTS,Court & Detention Services,CT11,Municipal Court Services,QV,Contractual & Other Services,3070,Professional Services,92471.0,SCHOOL OPERATION AND MANAGEMENT SERVICES,,
13626,2023-11-03,2024,2,EFT-BMS-EY240011170,771649.12,340268,Viking Construction Llc,78628,GNFD,General Fund,PBW,Public Works & Transporation,PB51,Street Maintenance Contracts,QV,Contractual & Other Services,3072,Contractor Service Fees,,NONE,,
13781,2023-11-06,2024,2,EFT-BMS-EY240011228,2099355.98,125824,Bar Constructors Inc ^,75146,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
13842,2023-11-06,2024,2,EFT-BMS-EY240011288,647774.66,347200,"Freese And Nichols, Inc.",75204,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4111,Engineering Design,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
13868,2023-11-06,2024,2,EFT-BMS-EY240011314,450870.44,502145,"Shi Government Solutions, Inc",78746,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3440,IT Cloud Services,95635.0,INTERNET DATABASE SUBSCRIPTIONS,,
14100,2023-11-06,2024,2,EFT-BMS-EY240011541,607075.26,VS0000040276,"The Fain Group, Inc.",76106,FDGT,Federal Grant (non Consolidated Plan),PKR,Park & Recreation,HIBT,Hike And Bike Trails,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
14151,2023-11-06,2024,2,EFT-BMS-EY240011589,1733730.66,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,RWPT,Raw Water Pumping And Transmission,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
14321,2023-11-07,2024,2,AD-BMS-AY240002490,650000.0,VC22791,"Swc Buckner And Peavy, Llc",75207,OTGO,Other GO CIP - Non-Debt,ECO,Office Of Economic Development,PPPF,Public Private Partnership,QV,Contractual & Other Services,3016,Economic Development Grant,96100.0,"MISCELLANEOUS SERVICES, NO. 1",,
14322,2023-11-07,2024,2,AD-BMS-AY240002490,650000.0,VC22791,"Swc Buckner And Peavy, Llc",75207,BP17,2017 General Obligation Bond Program,ECO,Office Of Economic Development,ECNR,"Economic Development, Neighborhood Revitalization And Busine",QV,Contractual & Other Services,3016,Economic Development Grant,96100.0,"MISCELLANEOUS SERVICES, NO. 1",,
14348,2023-11-07,2024,2,AD-BMS-AY240002516,343927.09,VS0000075003,"Lockwood, Andrews & Newnam, Inc.",75206,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4111,Engineering Design,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
14380,2023-11-07,2024,2,EFT-BMS-EY240011740,5032485.0,009922,Dallas Central Appraisal District,75247,GNFD,General Fund,BMS,Office of Budget,OF02,Dallas County Appraisal District (Contract),QV,Contractual & Other Services,3079,Appraisal Dist Support,91814.0,APPRAISALS CONSULTING,,
14435,2023-11-07,2024,2,EFT-BMS-EY240011794,345738.25,204040,Kahn Air Conditioning & Heating Company,75207,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
14748,2023-11-07,2024,2,EFT-BMS-EY240012102,380000.0,VS0000017816,"Ark Contracting Services, Llc",76060,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
15302,2023-11-09,2024,2,AD-BMS-AY240002747,4515840.34,VS0000009713,Carahsoft Technology Corp,20190,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3440,IT Cloud Services,20800.0,COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),,
15303,2023-11-09,2024,2,AD-BMS-AY240002747,773697.71,VS0000009713,Carahsoft Technology Corp,20190,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3438,Software Maint Fee,20800.0,COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),,
15427,2023-11-09,2024,2,EFT-BMS-EY240012609,371019.4,349633,Texas Commission On Environmental Quality,78711,EFOP,Enterprise Operating Fund,SAN,Sanitation Svcs,SS03,Landfill Management,QV,Contractual & Other Services,3460,Disposal Services,,NONE,,
15431,2023-11-09,2024,2,EFT-BMS-EY240012614,439770.2,356959,Eagle Contracting Llc,76244,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
15502,2023-11-09,2024,2,EFT-BMS-EY240012688,418222.3,VC22277,"Western Municipal Construction Of Texas, Llc",76247,CVID,COVID-19,DWU,Water Utilities,DW01,Water Treatment,RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
15503,2023-11-09,2024,2,EFT-BMS-EY240012688,324092.78,VC22277,"Western Municipal Construction Of Texas, Llc",76247,CVID,COVID-19,DWU,Water Utilities,DW01,Water Treatment,RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
15683,2023-11-09,2024,2,EFT-BMS-EY240012867,339902.0,VS0000067969,"Netsync Network Solutions, Inc.",75063,OTDB,Other GO CIP  - Debt,DSV,Communication & Info Svcs,TFFN,TFFN,QM,Supplies & Materials,2731,Data Processing Equipment,20400.0,COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS,,
15780,2023-11-09,2024,2,EFT-BMS-EY240012952,449659.79,VS0000017816,"Ark Contracting Services, Llc",76060,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
16167,2023-11-13,2024,2,EFT-BMS-EY240013259,1730120.5,519741,The Dallas Convention & Visitors Bureau,75201,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3320,Advertising,,NONE,,
16239,2023-11-13,2024,2,EFT-BMS-EY240013338,1179302.7,VC21437,Douglas Dailey Construction Llc,75125,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
16534,2023-11-13,2024,2,EFT-BMS-EY240013631,831610.0,VS90252,"Siddons Martin Emergency Group, Llc",77032,OTDB,Other GO CIP  - Debt,DFD,Dallas Fire Department,DF08,Fire And Rescue Equipment Maintenance,RC,Capital Outlay,4742,Trucks,7003.0,AMBULANCES AND RESCUE VEHICLES,,
16656,2023-11-14,2024,2,AD-BMS-AY240002896,900000.0,MVORM001,Law Offices Of Don Tittle F/B/O Shakur Stewart,,OTHO,Other Operating Fund,ORM,Risk Management,RM01,Risk Management Services,QV,Contractual & Other Services,3521,Judgements & Damages,,NONE,,
16853,2023-11-14,2024,2,EFT-BMS-EY240013864,780082.0,399372,The Around The Clock Freightliner Group Llc,75247,OTDB,Other GO CIP  - Debt,SAN,Sanitation Svcs,FLTR,San- Fleet Replacement,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
16893,2023-11-14,2024,2,EFT-BMS-EY240013906,1740000.0,VC0000002996,The Housing Authority Of The City Of Dallas,75356,CVID,COVID-19,MGT,Management Services,BM01,MGT Department Support,QV,Contractual & Other Services,3071,Management Service Fees,95285.0,SUPPORT SERVICES,,
16894,2023-11-14,2024,2,EFT-BMS-EY240013907,497000.0,VC0000002996,The Housing Authority Of The City Of Dallas,75356,CVID,COVID-19,MGT,Management Services,BM01,MGT Department Support,QV,Contractual & Other Services,3070,Professional Services,95285.0,SUPPORT SERVICES,,
16966,2023-11-14,2024,2,EFT-BMS-EY240013977,2370600.0,VC22876,Kay Bailey Hutchison Convention Center,75202,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3072,Contractor Service Fees,,NONE,,
17032,2023-11-14,2024,2,EFT-BMS-EY240014037,11032724.75,VC28399,"Mcgriff Insurance Services, Llc",28202,INSV,Internal Service Fund,ORM,Risk Management,RM01,Risk Management Services,QV,Contractual & Other Services,3310,Insurance,95300.0,"INSURANCE, ALL TYPES",,
17039,2023-11-14,2024,2,EFT-BMS-EY240014044,487061.85,VC28399,"Mcgriff Insurance Services, Llc",28202,INSV,Internal Service Fund,ORM,Risk Management,RM01,Risk Management Services,QV,Contractual & Other Services,3310,Insurance,95300.0,"INSURANCE, ALL TYPES",,
17071,2023-11-14,2024,2,EFT-BMS-EY240014075,2332093.0,VC29773,Maplemark Bank,75219,AVIC,Aviation Capital Program,AVI,Aviation,AV09,Dallas Executive Airport,RC,Capital Outlay,4420,Other Structures,,NONE,,
17353,2023-11-15,2024,2,AD-BMS-AY240003039,1180000.0,VC17057,Dawson Sodd Firm Pllc Trust Account,75110,BP98,1998 General Obligation Bond Program,SDM,Stormwater Drainage Management,TRPP,Relocation Prop,RC,Capital Outlay,4210,Property Purchase Price,57863.0,REAL ESTATE: LAND AND IMPROVEMENTS,,
17380,2023-11-15,2024,2,EFT-BMS-EY240014315,412590.0,082798,Casco Industries Inc,75050,GNFD,General Fund,INV,Inventory Purchase,INV1,Inventory,QM,Supplies & Materials,2998,Inventory Purchase,34574.0,PERSONAL PROTECTIVE EQUIPMENT FOR BLOODBORNE PATHOGENS,,
17429,2023-11-15,2024,2,EFT-BMS-EY240014363,779229.8,144735,"Camino Construction, L.P. ^",75057,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
17516,2023-11-15,2024,2,EFT-BMS-EY240014449,791800.39,517577,Housing Forward,75204,CVID,COVID-19,MGT,Management Services,EH54,Comprehensive Homeless Outreach,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
17522,2023-11-15,2024,2,EFT-BMS-EY240014455,838671.67,970352,Sabine River Authority Of Tx,75472,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
17581,2023-11-15,2024,2,EFT-BMS-EY240014514,1714472.73,VC22987,Dallas Tourism Public Improvement District,75201,OTEC,Other-Economic Development,ECO,Office Of Economic Development,PIDC,Public Improvement District Collections,QV,Contractual & Other Services,3034,Public Improvement District Mgmt Fee,,NONE,,
17623,2023-11-15,2024,2,EFT-BMS-EY240014556,365296.39,VC28399,"Mcgriff Insurance Services, Llc",28202,INSV,Internal Service Fund,ORM,Risk Management,RM01,Risk Management Services,QV,Contractual & Other Services,3310,Insurance,95300.0,"INSURANCE, ALL TYPES",,
17662,2023-11-15,2024,2,EFT-BMS-EY240014595,830322.66,VC28897,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
17663,2023-11-15,2024,2,EFT-BMS-EY240014596,432019.69,VC28899,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
17672,2023-11-15,2024,2,EFT-BMS-EY240014604,505811.24,VS0000006690,Delta Dental Insurance Company,94120,INSV,Internal Service Fund,PER,Human Resources,BE15,"Fiscal Management And Administration:  Voluntary Benefits, L",QV,Contractual & Other Services,355C,Voluntary Pmts Employee Dental,,NONE,,
17678,2023-11-15,2024,2,EFT-BMS-EY240014609,440314.17,VS0000016417,"Muniz Construction, Inc. ^",75253,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
17899,2023-11-16,2024,2,AD-BMS-AY240003124,414359.95,VC22918,Dallas Convention Center Hotel Development Corporation,75202,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3019,Section 380 Grant Expense,,NONE,,
18109,2023-11-16,2024,2,EFT-BMS-EY240014964,358841.67,516612,Deloitte Consulting Llp,22209,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3441,IT Managed Services,91800.0,CONSULTING SERVICES,,
18258,2023-11-16,2024,2,EFT-BMS-EY240015101,331581.06,VS0000016417,"Muniz Construction, Inc. ^",75253,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
18267,2023-11-16,2024,2,EFT-BMS-EY240015106,736961.09,VS0000024410,Standard Insurance Company,97208,INSV,Internal Service Fund,PER,Human Resources,BE15,"Fiscal Management And Administration:  Voluntary Benefits, L",QV,Contractual & Other Services,3552,"Pymts To Voluntary Benefits, dental, Vision Service Plan",,NONE,,
18359,2023-11-16,2024,2,EFT-BMS-EY240015196,546437.51,VS0000069669,"Imperial Construction, Inc.",76086,OTDB,Other GO CIP  - Debt,BSD,Building Services,FIRF,Fire Protection Facilities,RC,Capital Outlay,4310,Buildings,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
18413,2023-11-16,2024,2,EFT-BMS-EY240015251,818106.45,244607,Oscar Renda Contracting Inc,76262,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
18524,2023-11-17,2024,2,AD-BMS-AY240003217,1860949.0,VS100210,1412 Main Street Llc,75201,OTGO,Other GO CIP - Non-Debt,ECO,Office Of Economic Development,TCCN,City Center Tax Increment Financing District,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,96100.0,"MISCELLANEOUS SERVICES, NO. 1",,
18672,2023-11-17,2024,2,EFT-BMS-EY240015437,351635.0,504975,"Kinloch Equipment & Supply, Inc",77503,OTDB,Other GO CIP  - Debt,EFM,Equipment & Fleet Management,FLTR,Fleet Replacement,RC,Capital Outlay,4740,Motor Vehicles Cap,54500.0,"MACHINERY AND HARDWARE, INDUSTRIAL",,
18757,2023-11-17,2024,2,EFT-BMS-EY240015521,701052.63,VC21437,Douglas Dailey Construction Llc,75125,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
19029,2023-11-20,2024,2,AD-BMS-AY240003273,675087.55,VS0000013183,Cgi Technologies And Solutions Inc.,22030,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3438,Software Maint Fee,92045.0,SOFTWARE MAINTENANCE/SUPPORT,,
19079,2023-11-20,2024,2,EFT-BMS-EY240015793,1464561.61,125824,Bar Constructors Inc ^,75146,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
19151,2023-11-20,2024,2,EFT-BMS-EY240015865,444532.0,346992,Construction Rent-A-Fence ^,76578,EFOP,Enterprise Operating Fund,AVI,Aviation,EMER,AVIEMER,QV,Contractual & Other Services,3210,Repair&Maint Ser Bldg Etc,98815.0,"FENCE INSTALLATION, MAINTENANCE AND REPAIR",,
19181,2023-11-20,2024,2,EFT-BMS-EY240015893,661108.99,507202,"Syb Construction Co., Inc. ^",75061,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
